Title,US Gross,,,,
Return to the Land of Wonders,1338,,,,
Return to Oz,10618813,,,,
The Running Man,38122000,,,,
Run Lola Run,7267324,,,,
Revolution#9,9118,,,,
The River Wild,46815000,,,,
Se7en,100125643,,,,
Safe Men,21210,,,,
Secrets & Lies,13417292,,,,
Sgt. Bilko,30356589,,,,
Sabrina,53458319,,,,
Subway,390659,,,,
School Daze,14545844,,,,
Scarface,44942821,,,,
Schindler's List,96067179,,,,
A Streetcar Named Desire,8000000,,,,
Shadow Conspiracy,2154540,,,,
Short Cut to Nirvana: Kumbh Mela,381225,,,,
Spartacus,30000000,,,,
Sunday,410919,,,,
She Done Him Wrong,2000000,,,,
"Secret, The",0,,,,
Sea Rex 3D: Journey to a Prehistoric World,0,,,,
State Fair,3500000,,,,
Sticky Fingers of Time,18195,,,,
Stargate - The Ark of Truth,0,,,,
She's Gotta Have It,7137502,,,,
Stargate,71565669,,,,
The Shadow,31835600,,,,
Show Boat,11000000,,,,
Shadowlands,25842377,,,,
Shanghai Surprise,2315000,,,,
